0        1        2        3        4        5        6        7
01000001 10000010 01011001 11101100 10111010 10100011 01101011 00011111
01000001 10000100 01011101 11101100 10111010 10100011 01101001 00111111
01000001 10000110 01011101 11101100 10111010 10100011 00101011 00011111
01000001 11110000 01011001 11101100 10111010 10101011 10110001 00111111
11000001 11110010 01011001 11101100 10111010 10101011 11110011 00011111
11000001 11110100 01011101 11101100 10111010 10101011 11110001 00111111
11000001 11110110 01011101 11101100 10111010 10101011 10110011 00011111
11000001 11110000 01011001 11101100 10111010 10100011 10111001 00111111
01000001 11110010 01011001 11101100 10111011 10010011 11111011 00011111
01000001 11110100 01011101 11101100 10111011 10010011 11111001 00111111
01000001 11110110 01011101 11101100 10111011 10010011 10111011 00011111
01000001 11100000 01011001 11101100 10111011 10011011 10100001 00011111
01000001 11100010 01011001 11101100 10111011 10011011 10100011 00111111
11000001 11100100 01011101 11101100 10111011 10011011 11100001 00011111
11000001 11100110 01011101 11101100 10111011 10011011 11100011 00111111
11000001 11100000 01011001 11101100 10111011 10010011 10101001 00011111
11000001 11100010 01011001 11101100 10111011 10010011 10101011 00111111
01000011 11100100 01011101 11101100 10111010 10000011 11101001 00011111
01000011 11100110 01011101 11101100 10111010 10000011 11101011 00111111
01000011 11010000 01011001 11101100 10111010 10001011 10110001 00011111
01000011 11010010 01011001 11101100 10111010 10001011 10110011 00111111
11000011 11010100 01011101 11101100 10111010 10001011 11110001 00011111
11000011 11010110 01011101 11101100 10111010 10001011 11110011 00111111
11000011 11010000 01011001 11101100 10111010 10000011 10111001 00011111
11000011 11010010 01011001 11101100 10111010 10000011 10111011 00111111
01000011 11010100 00011101 11101100 00111011 10110011 11111001 00011111
01000011 11010110 00011101 11101100 00111011 10110011 11111011 00111111
01000011 11000000 00011001 11101100 00111011 10111011 11100001 00111111
01000011 11000010 00011001 11101100 00111011 10111011 10100011 00011111
01000011 11000100 00011101 11101100 00111011 10111011 10100001 00111111
11000011 11000110 00011101 11101100 00111011 10111011 11100011 00011111
11000011 11000000 00011001 11101100 00111011 10110011 11101001 00111111
11000011 11000010 00011001 11101100 00111011 10110011 10101011 00011111
11000011 11000100 00011101 11101100 00111011 10110011 10101001 00111111
01000001 11000110 00011101 11101100 00111010 10100011 11101111 00010111
01000001 10110000 00011001 11101100 00111010 10101011 11110101 00110111
01000001 10110010 00011001 11101100 00111010 10101011 10110111 00010111
01000001 10110100 00011101 11101100 00111010 10101011 10110101 00110111
11000001 10110110 00011101 11101100 00111010 10101011 11110111 00010111
11000001 10110000 00011001 11101100 00111010 10100011 11111101 00110111
11000001 10110010 00011001 11101100 00111010 10100011 10111111 00010111
11000001 10110100 00011101 11101100 00111010 10100011 10111101 00110111
01000001 10110110 00011101 11101100 00111011 10010011 11111111 00010111
01000001 10100000 00011001 11101100 00111011 10011011 11100101 00010111
01000001 10100010 00011001 11101100 00111011 10011011 11100111 00110111
01000001 10100100 00011101 11101100 00111011 10011011 10100101 00010111
01000001 10100110 00011101 11101100 00111011 10011011 10100111 00110111
11000001 10100000 00011001 11101100 00111011 10010011 11101101 00010111
11000001 10100010 00011001 11101100 00111011 10010011 11101111 00110111
11000001 10100100 00011101 11101100 00111011 10010011 10101101 00010111
11000001 10100110 00011101 11101100 00111011 10010011 10101111 00110111
01000011 10010000 00011001 11101100 00111010 10001011 11110101 00010111
01000011 10010010 00011001 11101100 00111010 10001011 11110111 00110111
01000011 10010100 00011101 11101100 00111010 10001011 10110101 00010111
01000011 10010110 00011101 11101100 00111010 10001011 10110111 00110111
11000011 10010000 00011001 11101100 00111010 10000011 11111101 00010111
11000011 10010010 00011001 11101100 00111010 10000011 11111111 00110111
11000011 10010100 00011101 11101100 00111010 10000011 10111101 00010111
11000011 10010110 00011101 11101100 00111010 10000011 10111111 00110111
11000011 10000000 00011001 11101100 00111010 10001011 10100101 00110111
01000011 10000010 01011001 11101100 00111011 10111011 11100111 00010111
01000011 10000100 01011101 11101100 00111011 10111011 11100101 00110111
01000011 10000110 01011101 11101100 00111011 10111011 10100111 00010111
01000011 10000000 01011001 11101100 00111011 10110011 10101101 00110111
11000011 10000010 01011001 11101100 00111011 10110011 11101111 00010111
11000011 10000100 01011101 11101100 00111011 10110011 11101101 00110111
11000011 10000110 01011101 11101100 00111011 10110011 10101111 00010111
11000011 11110000 01011000 11101100 00111011 10111011 00110101 00110111
01000001 11110010 01011000 11101100 00111010 10101011 01110011 00010111
01000001 11110100 01011100 11101100 00111010 10101011 01110001 00110111
01000001 11110110 01011100 11101100 00111010 10101011 00110011 00010111
01000001 11110000 01011000 11101100 00111010 10100011 00111001 00110111
11000001 11110010 01011000 11101100 00111010 10100011 01111011 00010111
11000001 11110100 01011100 11101100 00111010 10100011 01111001 00110111
11000001 11110110 01011100 11101100 00111010 10100011 00111011 00010111
11000001 11100000 01011000 11101100 00111010 10101011 00100001 00010111
11000001 11100010 01011000 11101100 00111010 10101011 00100011 00110111
01000001 11100100 01011100 11101100 00111011 10011011 01100001 00010111
01000001 11100110 01011100 11101100 00111011 10011011 01100011 00110111
01000001 11100000 01011000 11101100 00111011 10010011 00101001 00010111
01000001 11100010 01011000 11101100 00111011 10010011 00101011 00110111
11000001 11100100 01011100 11101100 00111011 10010011 01101001 00010111
11000001 11100110 01011100 11101100 00111011 10010011 01101011 00110111
11000001 11010000 01011000 11101100 00111011 10011011 00110001 00010111
